
"Data da Carga da Base";"Exercício Financeiro (Lan-Ef)";"Ação (código)";"Ação (nome)";"Plano Orçamentário (código)";"Plano Orçamentário (nome)";"Grupo de Despesa (código)";"Grupo de Despesa (nome)";"Resultado Lei (código)";"Resultado Lei (nome)";"Modalidade de Aplicação (código)";"Modalidade de Aplicação (nome)";"Fonte (código)";"Fonte (nome)";"Valor dotação inicial";"Valor dotação atualizada";"Valor Total Empenhado";"Valor Liquidado";"Valor Pago"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0001";"CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"6687,00";"6687,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0002";"CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"4928,00";"4928,00";"3870,81";"3870,81";"3870,81"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0004";"CONTRIBUICAO AO PARLAMERICAS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"145268,00";"145268,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0005";"CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"2188,00";"2188,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000S";"CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"253287,00";"253287,00";"223308,08";"202379,95";"202379,95"
"04/06/22";"2022";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000T";"CONTRIBUICAO A UNIAO INTERPARLAMENTAR";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"1407731,00";"1407731,00";"1134667,04";"1134667,04";"1134667,04"
"04/06/22";"2022";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0001";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"10800,00";"10800,00";"9000,00";"9000,00";"9000,00"
"04/06/22";"2022";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0002";"CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"74636,00";"74636,00";"55437,60";"23099,00";"23099,00"
"04/06/22";"2022";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0003";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"16800,00";"16800,00";"0,00";"0,00";"0,00"
"04/06/22";"2022";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0004";"CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"5858,00";"5858,00";"5376,00";"5376,00";"5376,00"
