,DATA,VALOR_REEMBOLSADO
0,2011-01-01,4680.17
1,2011-01-02,3097.27
2,2011-01-03,7061.41
3,2011-01-04,5603.73
4,2011-01-05,27491.16
5,2011-01-06,18514.2
6,2011-01-07,13986.96
7,2011-01-08,7063.74
8,2011-01-09,1680.68
9,2011-01-10,8856.02
10,2011-01-11,32662.9
11,2011-01-12,18882.44
12,2011-01-13,22359.73
13,2011-01-14,15738.95
14,2011-01-15,5522.4400000000005
15,2011-01-16,7317.75
16,2011-01-17,25446.69
17,2011-01-18,30239.39
18,2011-01-19,7289.2
19,2011-01-20,28493.85
20,2011-01-21,31950.77
21,2011-01-22,3060.5499999999997
22,2011-01-23,7590.97
23,2011-01-24,32938.979999999996
24,2011-01-25,38245.57
25,2011-01-26,29621.68
26,2011-01-27,22809.73
27,2011-01-28,52498.409999999996
28,2011-01-29,2245.69
29,2011-01-30,25368.37
30,2011-01-31,61554.329999999994
31,2011-02-01,43943.63
32,2011-02-02,14909.74
33,2011-02-03,7835.4
34,2011-02-04,10133.26
35,2011-02-05,17039.22
36,2011-02-06,2767.41
37,2011-02-07,35652.65
38,2011-02-08,4032.83
39,2011-02-09,19647.0
40,2011-02-10,31417.8
41,2011-02-11,13427.57
42,2011-02-12,5716.67
43,2011-02-13,5831.64
44,2011-02-14,17442.2
45,2011-02-15,33219.82
46,2011-02-16,14510.04
47,2011-02-17,33414.24
48,2011-02-18,25167.6
49,2011-02-19,5193.66
50,2011-02-20,3170.41
51,2011-02-21,28106.780000000002
52,2011-02-22,7702.01
53,2011-02-23,28519.37
54,2011-02-24,35930.48
55,2011-02-25,22984.98
56,2011-02-26,11150.42
57,2011-02-27,6575.5
58,2011-02-28,165327.18
59,2011-03-01,61221.62
60,2011-03-02,27525.73
61,2011-03-03,22539.940000000002
62,2011-03-04,45957.53
63,2011-03-05,19519.66
64,2011-03-06,4398.49
65,2011-03-07,3763.1
66,2011-03-08,2985.3
67,2011-03-09,5919.34
68,2011-03-10,45148.97
69,2011-03-11,32162.0
70,2011-03-12,12854.640000000001
71,2011-03-13,4018.5299999999997
72,2011-03-14,32343.27
73,2011-03-15,55589.11
74,2011-03-16,19374.04
75,2011-03-17,15083.869999999999
76,2011-03-18,52411.19
77,2011-03-19,7847.32
78,2011-03-20,9399.78
79,2011-03-21,41117.23
80,2011-03-22,13742.1
81,2011-03-23,31980.53
82,2011-03-24,30059.36
83,2011-03-25,23949.13
84,2011-03-26,10959.61
85,2011-03-27,3896.1
86,2011-03-28,63944.09
87,2011-03-29,29555.42
88,2011-03-30,76010.43
89,2011-03-31,94790.33
90,2011-04-01,83062.41
91,2011-04-02,13189.37
92,2011-04-03,2179.7599999999998
93,2011-04-04,55872.09
94,2011-04-05,114186.99
95,2011-04-06,23395.3
96,2011-04-07,15157.63
97,2011-04-08,32379.33
98,2011-04-09,11600.31
99,2011-04-10,14223.9
100,2011-04-11,87951.41
101,2011-04-12,28478.34
102,2011-04-13,15187.640000000001
103,2011-04-14,35662.54
104,2011-04-15,30773.71
105,2011-04-16,6589.76
106,2011-04-17,2696.36
107,2011-04-18,25561.48
108,2011-04-19,26589.81
109,2011-04-20,21845.02
110,2011-04-21,5520.78
111,2011-04-22,8523.15
112,2011-04-23,3614.29
113,2011-04-24,1327.8799999999999
114,2011-04-25,52398.15
115,2011-04-26,24064.15
116,2011-04-27,40158.24
117,2011-04-28,39570.14
118,2011-04-29,65742.65
119,2011-04-30,80762.08
120,2011-05-01,27291.15
121,2011-05-02,97679.40000000001
122,2011-05-03,54663.02
123,2011-05-04,33013.14
124,2011-05-05,69959.05
125,2011-05-06,30269.79
126,2011-05-07,7688.63
127,2011-05-08,14367.44
128,2011-05-09,38241.08
129,2011-05-10,42802.97
130,2011-05-11,47921.8
131,2011-05-12,24600.08
132,2011-05-13,28713.18
133,2011-05-14,11628.48
134,2011-05-15,13214.05
135,2011-05-16,47053.62
136,2011-05-17,15669.66
137,2011-05-18,23037.98
138,2011-05-19,18778.079999999998
139,2011-05-20,19230.84
140,2011-05-21,3484.57
141,2011-05-22,2104.54
142,2011-05-23,27607.03
143,2011-05-24,15595.39
144,2011-05-25,37481.51
145,2011-05-26,60795.06
146,2011-05-27,42280.29
147,2011-05-28,10636.5
148,2011-05-29,2841.44
149,2011-05-30,77395.48
150,2011-05-31,86579.99
151,2011-06-01,93590.01
152,2011-06-02,61144.03
153,2011-06-03,64829.43
154,2011-06-04,9857.34
155,2011-06-05,44095.14
156,2011-06-06,77150.22
157,2011-06-07,73597.86
158,2011-06-08,31218.09
159,2011-06-09,38563.48
160,2011-06-10,74179.87
161,2011-06-11,30951.86
162,2011-06-12,12021.6
163,2011-06-13,83563.86
164,2011-06-14,86559.32
165,2011-06-15,64288.520000000004
166,2011-06-16,62641.99
167,2011-06-17,72284.38
168,2011-06-18,12301.77
169,2011-06-19,14815.5
170,2011-06-20,116459.26
171,2011-06-21,43024.92
172,2011-06-22,98163.45999999999
173,2011-06-23,19277.399999999998
174,2011-06-24,18406.21
175,2011-06-25,18263.75
176,2011-06-26,12948.11
177,2011-06-27,63407.270000000004
178,2011-06-28,86343.28
179,2011-06-29,49890.45
180,2011-06-30,174976.01
181,2011-07-01,144576.57
182,2011-07-02,14455.27
183,2011-07-03,6313.46
184,2011-07-04,71583.96
185,2011-07-05,84933.74
186,2011-07-06,64086.24
187,2011-07-07,76095.24
188,2011-07-08,70002.95
189,2011-07-09,10223.5
190,2011-07-10,18494.75
191,2011-07-11,94481.5
192,2011-07-12,97510.98
193,2011-07-13,61659.07
194,2011-07-14,65628.52
195,2011-07-15,78638.51
196,2011-07-16,9613.99
197,2011-07-17,3330.77
198,2011-07-18,50591.05
199,2011-07-19,35644.49
200,2011-07-20,102640.87
201,2011-07-21,29926.67
202,2011-07-22,22694.37
203,2011-07-23,3246.67
204,2011-07-24,5608.55
205,2011-07-25,31486.510000000002
206,2011-07-26,40624.25
207,2011-07-27,38988.42
208,2011-07-28,53834.31
209,2011-07-29,85212.92
210,2011-07-30,45763.42
211,2011-07-31,25503.41
212,2011-08-01,142107.43
213,2011-08-02,73992.09
214,2011-08-03,56146.75
215,2011-08-04,86280.96
216,2011-08-05,91910.71
217,2011-08-06,15564.74
218,2011-08-07,14868.78
219,2011-08-08,103653.23
220,2011-08-09,54876.72
221,2011-08-10,92127.4
222,2011-08-11,57868.99
223,2011-08-12,33052.67
224,2011-08-13,37367.89
225,2011-08-14,30839.25
226,2011-08-15,139056.44
227,2011-08-16,70575.93
228,2011-08-17,75482.39
229,2011-08-18,81507.12
230,2011-08-19,38671.33
231,2011-08-20,18860.05
232,2011-08-21,13032.17
233,2011-08-22,65748.89
234,2011-08-23,44696.31
235,2011-08-24,80040.71
236,2011-08-25,81899.56999999999
237,2011-08-26,77591.46
238,2011-08-27,15872.97
239,2011-08-28,28138.05
240,2011-08-29,87949.45999999999
241,2011-08-30,114345.03
242,2011-08-31,128063.35
243,2011-09-01,183816.1
244,2011-09-02,72226.31999999999
245,2011-09-03,12011.45
246,2011-09-04,35484.85
247,2011-09-05,122316.11
248,2011-09-06,46056.65
249,2011-09-07,15698.699999999999
250,2011-09-08,28131.5
251,2011-09-09,91731.94
252,2011-09-10,23492.260000000002
253,2011-09-11,17418.41
254,2011-09-12,114623.32
255,2011-09-13,82492.55
256,2011-09-14,47705.34
257,2011-09-15,113753.82
258,2011-09-16,91536.45
259,2011-09-17,23451.81
260,2011-09-18,27389.59
261,2011-09-19,116161.13
262,2011-09-20,57985.01
263,2011-09-21,55075.74
264,2011-09-22,76473.23
265,2011-09-23,65276.47
266,2011-09-24,15439.33
267,2011-09-25,13771.59
268,2011-09-26,96423.20999999999
269,2011-09-27,45064.75
270,2011-09-28,81600.23
271,2011-09-29,174775.49
272,2011-09-30,189473.63
273,2011-10-01,91062.35
274,2011-10-02,22773.56
275,2011-10-03,140974.93
276,2011-10-04,135761.26
277,2011-10-05,120627.15
278,2011-10-06,90044.20999999999
279,2011-10-07,40342.69
280,2011-10-08,13676.91
281,2011-10-09,24505.54
282,2011-10-10,82233.89
283,2011-10-11,68986.92
284,2011-10-12,10391.59
285,2011-10-13,75728.91
286,2011-10-14,75133.63
287,2011-10-15,35397.6
288,2011-10-16,19682.09
289,2011-10-17,97946.79
290,2011-10-18,49878.44
291,2011-10-19,93793.53
292,2011-10-20,77054.34999999999
293,2011-10-21,72540.87
